
3605980,Meaningless Game,高压之下,178,0,0,0,衍生-言情-架空历史-东方衍生,不明,0,,0,76783,2018-06-03 22:35:00,6037
3605984,碧落黛,surivor,,0,0,0,原创-言情-架空历史-爱情,女主,0,,0,28126,Error,0
3606000,异世之饲养凶喵,壬雪晓风,6369,542,1922,350,原创-纯爱-架空历史-爱情,主受,1,,1,41214940,2018-09-25 01:55:12,212370
3606004,我亲爱的你呀,甜甜的少女梦,9,0,1,0,原创-言情-近代现代-爱情,女主,0,,0,29407,Error,2493
3606016,我和死忠粉同居了,与竹,485,64,104,11,原创-纯爱-近代现代-爱情,主受,0,,1,3708151,2018-08-14 01:55:53,68093
3606020,刀剑乱舞咸鱼的本丸,玖块木,868,0,9,0,衍生-言情-幻想未来-东方衍生,女主,0,,0,188730,2018-09-01 20:20:39,10192
3606044,突发奇想的小短片,黎花落晚,57,0,0,0,衍生-无CP-幻想未来-其他衍生,不明,-1,,0,16400,2018-06-03 14:17:43,23
3606048,一声你愿意，一声我愿意,莉枝香,285,2,4,0,原创-言情-近代现代-爱情,女主,0,,0,1562981,2018-06-03 14:13:00,131705
3606052,这世界我只怕你,流雪儿,161,0,0,0,原创-言情-近代现代-爱情,不明,0,,0,41814,Error,2770
3606060,学神她叕空降热搜了,牛荃荃,651,38,121,37,原创-言情-近代现代-爱情,女主,1,,1,2337914,2018-06-15 01:48:00,58726
3606088,Lemon,三十三夜河,6,0,0,0,原创-纯爱-近代现代-爱情,主受,0,,0,57437,2018-06-03 14:58:34,10844
3606100,快穿之绿茶攻略,薏仁茶,,0,30,0,原创-纯爱-近代现代-爱情,主攻,0,,1,2960012,Error,0
3606104,惑乱三生,皎如月,,0,0,0,原创-言情-架空历史-武侠,女主,0,,0,16400,Error,0
3606108,还珠重生之小燕子,深山柠檬,18078,253,758,55,衍生-言情-架空历史-轻小说,不明,1,,1,15913250,2018-06-03 15:18:51,227930
3606112,重生以后剑碎了,灯坛,2997,204,1169,243,原创-纯爱-架空历史-武侠,主受,1,,1,15586573,2018-08-04 21:00:00,229518
3606116,如意坊,卷尾儿,3635,1,11,10,原创-言情-架空历史-奇幻,女主,0,,0,995867,2018-06-03 21:22:56,60262
3606120,穿成女配后我逆袭了,穗雪,37333,630,4898,839,原创-言情-近代现代-爱情,女主,1,,1,77506264,2018-09-03 17:57:22,285456
3606124,福地玲珑异世成长记,XY百年好合,,0,0,0,原创-百合-架空历史-爱情,互攻,0,,0,16400,Error,0
3606136,误恋,辛赤忆,55,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,16480,Error,175
3606144,云深不觅君,沉白絮,4595,259,346,300,衍生-纯爱-架空历史-东方衍生,主攻,0,,0,2681721,2018-06-03 16:29:28,48326
3606160,仙君梦,无所见,312,19,22,1,衍生-纯爱-架空历史-东方衍生,不明,0,,1,2976239,2018-12-24 11:40:16,46519
3606164,和笙天下,抱琴客,305,15,33,5,原创-纯爱-架空历史-武侠,主受,1,,0,386361,2018-06-03 19:32:30,53049
3606168,河内爱情故事,林宇洛,77,1,1,0,原创-纯爱-近代现代-爱情,主受,0,,0,50545,Error,3347
3606172,吸血鬼Boss？不存在的,大离,,0,26,43,原创-纯爱-近代现代-奇幻,主攻,0,,1,421921,Error,0
3606180,晓*,人*******家,200,0,0,0,原创-纯爱-近代现代-轻小说,主受,0,,0,100279,2018-06-03 16:15:54,8092
3606184,宅斗不如养只猫,冰糖豆糕,,0,2,0,原创-言情-架空历史-爱情,女主,0,,1,57401,Error,0
3606188,曾是惊鸿照影来,歌自若,233,0,0,0,衍生-言情-架空历史-东方衍生,女主,0,,0,50186,Error,3171
3606208,[火影]一直在你身边,蠢咩卖蠢,1032,84,211,16,衍生-纯爱-架空历史-东方衍生,不明,0,,0,1708358,2018-06-04 20:40:00,131647
3606212,浮世欢凉,长舟应予寄,,0,0,0,原创-言情-架空历史-爱情,女主,0,,0,17466,Error,0
3606220,春暖花开,观山北麓,87,2,1,10,原创-言情-近代现代-爱情,不明,0,,0,36095,2018-06-04 20:33:07,3369
3606240,我有一个好朋友,赵九十,,0,0,0,原创-纯爱-近代现代-爱情,主受,0,,0,16400,Error,0
3606244,谁是我是谁,博雅大人,171,0,0,0,原创-言情-近代现代-轻小说,女主,0,,0,74341,2018-06-03 17:06:59,7291
3606256,我不成佛（穿书）,万俟柒,1992,243,767,178,原创-言情-架空历史-传奇,女主,1,,1,18790052,2019-02-19 00:58:12,481608
3606260,陌桑花开,Z的小黑球,140,0,0,0,原创-纯爱-架空历史-爱情,互攻,0,,0,22261,2018-06-03 19:30:01,1791
3606268,任时光匆匆,苏离曈,98,1,2,0,原创-言情-近代现代-爱情,不明,0,,0,76398,2018-06-03 17:23:59,8469
3606276,综英美今天的我还是在蒙圈,流言什么的都挡回去,,0,1,0,衍生-言情-幻想未来-西方衍生,女主,0,,0,19024,Error,0
3606280,炸系统计划,井鬼,201,1,1,0,原创-纯爱-架空历史-爱情,主受,0,,0,69857,2018-06-03 17:57:05,5259
3606284,若回首,花终北,94,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,40411,2018-06-03 17:47:58,6001
3606292,哎！佞臣难当,神奇的小树,304,15,16,0,原创-言情-架空历史-爱情,女主,0,,1,5734384,2018-06-03 17:50:19,207965
3606300,快穿之如何养成一个童养媳,隔壁闲庭,1326,62,77,17,衍生-纯爱-架空历史-其他衍生,主攻,0,,0,862750,2018-06-03 17:58:26,48151
3606308,想尽办法远离你[快穿],沐可,,3,617,49,原创-言情-近代现代-爱情,女主,0,,1,7475388,Error,0
3606316,大宇宙的善意,麻陶,164,1,0,0,衍生-纯爱-近代现代-东方衍生,不明,0,,0,33961,2018-06-03 18:32:12,2735
3606328,秋已落,一曲未完,115,0,0,0,原创-言情-架空历史-爱情,不明,0,,0,19838,Error,1054
3606332,穿书后我成了太后和皇帝he了,RedPapaver,,1,64,0,原创-言情-架空历史-爱情,女主,0,,1,554385,Error,0
3606356,(凹凸世界同人)圣者王座,明语启,101,1,2,0,衍生-纯爱-架空历史-东方衍生,互攻,0,,0,45641,2018-06-03 19:22:20,2555
3606372,星星的惩罚,远古来客,546,2,1,0,原创-言情-近代现代-科幻,男主,0,,0,218668,2018-06-03 19:25:51,18249
3606384,召唤师--王者大陆,明世隐,25,0,0,0,原创-无CP-架空历史-游戏,男主,-1,,0,19682,Error,1022
3606404,神与神赐者[西幻],朴衣刀,,0,5,0,原创-纯爱-架空历史-奇幻,主受,0,,1,115123,Error,0
3606424,光与柔（新版）,Joy乔伊,381,0,1,0,原创-言情-近代现代-爱情,男主,1,,0,332080,2018-06-04 00:08:08,31909
3606428,她曾说,叶属儿,177,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,24310,2018-06-03 20:20:57,2194
3606436,整理写给各个专的戏,顾清桉,,0,0,0,随笔,,0,,0,16400,Error,0
3606440,思无邪,猫九郄,239,4,4,0,原创-纯爱-架空历史-仙侠,主受,0,,0,381502,2018-06-03 20:32:09,49374
3606444,美人计谋,就是很酷,468,0,1,0,原创-纯爱-架空历史-爱情,主受,0,,0,37818,Error,2168
3606460,九尾的修成之路,妖幺幺,33,0,2,0,原创-无CP-架空历史-奇幻,男主,-1,,0,270126,2018-06-03 20:51:12,40802
3606468,你的牙齿好甜,林几宿,423,27,30,50,原创-百合-近代现代-爱情,互攻,0,,0,710222,2018-06-04 09:01:46,47333
3606476,华娱韩娱:摇滚女孩,英灵ghost,,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,16400,Error,0
3606484,暗恋日记,小豆凉糕,83,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,18618,Error,877
3606488,小王子与金丝雀,一颗彗心,105,2,6,0,原创-纯爱-近代现代-爱情,主攻,0,,0,73201,2018-06-03 21:18:21,13479
3606492,第一夫人[星际],砚上凉墨,10164,276,1423,169,原创-纯爱-幻想未来-爱情,主受,1,,1,24582310,2018-06-03 21:26:10,419856
3606496,我的发小是女神（百合）,无零Z,342,0,6,0,原创-百合-幻想未来-爱情,主受,0,,0,40659,2019-07-15 18:05:52,1961
3606500,福华同人之我的你,Shor,1368,1,4,0,衍生-纯爱-架空历史-西方衍生,主受,0,,0,35306,Error,1294
3606508,火影同人 柱斑 心愿,止观,1313,11,45,0,衍生-纯爱-架空历史-东方衍生,不明,0,,0,221359,2018-06-03 21:37:38,15631
3606512,弦月轮回,愿行,143,0,0,0,原创-纯爱-架空历史-仙侠,主受,0,,0,101204,2018-06-30 19:07:49,9249
3606524,十二张相片,如晨,41,1,1,0,原创-言情-近代现代-爱情,女主,0,,0,41476,2018-06-03 21:56:00,5740
3606556,叶家三千金,欢妹子呀,,0,1,0,原创-言情-架空历史-爱情,不明,0,,0,19024,Error,0
