total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
31,35.0,39700,0,"['古代言情', '古代情缘']",1,0,0,1,40000,33
18,46.0,43700,0,"['玄幻', '高武世界']",1,0,0,1,44000,12
18,10.0,18900,0,"['现代言情', '都市生活']",0,0,0,1,19000,11
10,18.0,6018,0,"['科幻', '进化变异']",0,0,0,1,6018,4
5,24.0,7816,0,"['科幻', '星际文明']",0,0,0,1,7816,25
2,0.0,2022,0,"['短篇', '短故事']",1,0,0,1,2022,1
2,132.0,3788,0,"['玄幻', '东方玄幻']",0,0,0,1,3788,1
90,25.0,12500,0,"['科幻', '未来世界']",0,0,1,1,13000,233
17,46.0,86700,0,"['玄幻', '东方玄幻']",0,0,0,1,87000,216
10200,137.0,513500,35,"['都市', '都市异能']",0,1,2,1,510000,125
18,55.0,32599,0,"['悬疑', '诡秘悬疑']",1,0,0,10,410000,88
6,40.0,4012,0,"['玄幻', '东方玄幻']",0,0,0,1,4012,2
8,53.0,6600,0,"['诸天无限', '无限']",0,0,0,2,9122,15
20,15.0,35300,0,"['悬疑推理', '奇妙世界']",0,0,0,1,35000,16
77,23.0,87800,0,"['历史', '秦汉三国']",0,0,0,7,450000,35
12,27.0,51400,0,"['都市', '都市异能']",0,0,0,1,51000,35
820,16.0,14900,0,"['历史', '秦汉三国']",1,0,1,3,85000,30
60,57.0,42600,0,"['仙侠', '古典仙侠']",0,0,0,1,43000,18
27,9.0,46700,0,"['现实', '人间百态']",0,0,0,4,140000,25
14,70.0,282400,0,"['现实', '人间百态']",1,0,0,3,1010000,263
8,116.0,25200,0,"['游戏', '游戏异界']",0,0,0,1,25000,17
4,13.0,4628,0,"['都市', '都市生活']",0,0,0,2,25000,24
8,122.0,16600,0,"['玄幻', '东方玄幻']",0,0,0,1,17000,6
2,48.0,6027,0,"['科幻', '星际文明']",0,0,0,1,6027,5
31,66.0,355700,0,"['玄幻', '异世大陆']",0,0,0,1,360000,67
32,28.0,43000,0,"['奇幻', '史诗奇幻']",1,0,0,1,43000,18
318,42.0,105500,9,"['玄幻', '东方玄幻']",1,0,0,1,110000,41
26,21.0,23500,0,"['短篇', '生活随笔']",0,0,0,1,24000,12
2,0.0,1657,0,"['轻小说', '衍生同人', '轻小说']",1,0,1,4,1300000,498
2,70.0,2091,0,"['都市', '异术超能']",0,0,0,2,4185,2
12,118.0,197600,0,"['玄幻', '东方玄幻']",0,0,0,1,200000,17
2,73.0,2165,0,"['短篇', '生活随笔']",0,0,0,2,8343,10
4,153.0,138700,1,"['诸天无限', '诸天']",0,1,1,3,220000,81
3927,152.0,750600,64,"['轻小说', '衍生同人', '轻小说']",0,1,1,1,750000,156
2,0.0,3828,0,"['科幻', '末世危机']",0,0,0,0,0,1
4,0.0,8496,0,"['都市', '都市异能']",0,0,0,0,0,0
23,16.0,41700,0,"['玄幻', '东方玄幻']",0,0,0,3,100000,10
10,23.0,8120,0,"['科幻', '超级科技']",0,0,0,1,8120,4
2,0.0,2801,0,"['现代言情', '都市生活']",0,0,0,0,0,3
2,0.0,1754,0,"['武侠', '传统武侠']",0,0,0,0,0,1
14,31.0,25700,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,0,0,0
2,0.0,8689,0,"['短篇', '短故事']",1,0,0,4,180000,40
8,0.0,15000,0,"['浪漫青春', '青春校园']",0,0,0,0,0,6
30,16.0,126700,0,"['科幻', '进化变异']",0,0,0,1,130000,16
2,0.0,2031,0,"['诸天无限', '诸天']",0,0,0,0,0,1
5,0.0,4047,0,"['现实', '人间百态']",0,0,0,0,0,3
3,0.0,8806,0,"['玄幻', '高武世界']",0,0,0,0,0,9
2,9.0,5331,0,"['玄幻', '异世大陆']",0,0,0,1,5331,39
2,0.0,2306,0,"['科幻', '末世危机']",0,0,0,0,0,1
2,0.0,1018,0,"['现代言情', '婚恋情缘']",0,0,0,0,0,2
6,94.0,15400,0,"['玄幻', '异世大陆']",0,0,0,1,15000,5
21,0.0,26300,0,"['都市', '都市生活']",0,0,0,0,0,208
2,0.0,4017,0,"['现实生活', '家与情感']",0,0,0,0,0,2
2,0.0,1078,0,"['现代言情', '都市生活']",0,0,0,1,1149,64
9,146.0,16100,0,"['武侠', '武侠幻想']",0,0,0,2,24000,8
22,0.0,31400,0,"['玄幻', '东方玄幻']",0,0,0,0,0,24
25,61.0,46800,0,"['科幻', '超级科技']",0,0,0,1,47000,25
6,147.0,15200,2,"['奇幻', '剑与魔法']",0,0,0,1,15000,6
0,0.0,101400,0,"['奇幻', '史诗奇幻']",1,0,0,1,55000,13
33,36.0,139900,0,"['仙侠', '幻想修仙']",0,0,0,2,190000,111
979,113.0,356000,1,"['历史', '两晋隋唐']",0,1,1,1,360000,113
890,152.0,498200,36,"['历史', '架空历史']",0,0,0,4,3060000,557
834,11.0,25500,0,"['玄幻', '东方玄幻']",0,0,0,1,26000,12
2,0.0,2034,0,"['都市', '异术超能']",0,0,0,0,0,26
362,131.0,45500,0,"['仙侠', '古典仙侠']",0,0,0,1,46000,17
1960,152.0,795900,55,"['诸天无限', '无限']",0,1,1,1,800000,151
31,147.0,39000,0,"['都市', '异术超能']",0,0,0,1,39000,24
4,9.0,2999,0,"['都市', '都市生活']",0,0,0,7,140000,142
2,18.0,1759,0,"['奇幻', '另类幻想', '轻小说']",0,0,0,1,1759,1
2,97.0,14800,0,"['现实', '人间百态']",1,0,0,2,22000,2
2,0.0,4455,0,"['都市', '都市生活']",0,0,0,0,0,1
2,0.0,2959,0,"['玄幻言情', '异世大陆']",0,0,0,0,0,2
25,33.0,35700,0,"['都市', '都市异能']",0,0,0,1,36000,94
1014,150.0,176700,1,"['都市', '都市异能']",0,0,0,1,180000,56
20,33.0,24800,0,"['都市', '都市生活']",0,0,0,1,25000,17
8,0.0,8777,0,"['都市', '异术超能']",0,0,0,0,0,4
12,27.0,22700,0,"['玄幻言情', '东方玄幻']",0,0,0,1,23000,21
